IDborrower,IDlender,getID,IsExpired,GetLinkedAgentID,getType,Initial Borrower,Initial Lender,Linked Borrower (IB Market),Linked Lender (IB Market),IB Deposit Rate Linked Agent,IB Loan Rate Linked Agent
18,0,23,0,0,11,18,,0,,0,
18,0,23,1,0,11,18,,0,,0,
18,0,23,1,0,11,18,,0,,0,
15,0,24,0,0,1,15,,,,,
15,0,24,1,0,1,15,,,,,
15,0,24,1,0,1,15,,,,,
16,0,25,0,0,1,16,,,,,
16,0,25,1,0,1,16,,,,,
16,0,25,1,0,1,16,,,,,
17,0,26,0,0,1,17,,,,,
17,0,26,1,0,1,17,,,,,
17,0,26,1,0,1,17,,,,,
15,0,27,0,0,1,15,,,,,
15,0,27,1,0,1,15,,,,,
15,0,27,1,0,1,15,,,,,
13,0,28,0,0,1,13,,,,,
13,0,28,1,0,1,13,,,,,
13,0,28,1,0,1,13,,,,,
0,17,29,0,0,2,,17,,,,
0,21,30,0,0,2,,21,,,,
0,21,30,0,0,21,,,,,,
0,21,30,1,0,21,,,,,,
0,21,30,1,0,21,,,,,,
0,21,30,1,0,21,,,,,,
0,21,30,1,0,21,,,,,,
0,16,31,0,0,2,,16,,,,
0,16,32,0,0,2,,16,,,,
0,19,33,0,0,2,,19,,,,
0,19,33,0,0,21,,,,,,
0,19,33,1,0,21,,,,,,
0,19,33,1,0,21,,,,,,
0,19,33,1,0,21,,,,,,
0,19,33,1,0,21,,,,,,
0,20,34,0,0,2,,20,,,,
0,20,34,0,0,21,,,,,,
0,20,34,1,0,21,,,,,,
0,20,34,1,0,21,,,,,,
0,20,34,1,0,21,,,,,,
0,20,34,1,0,21,,,,,,
0,18,35,0,0,2,,18,,,,
0,18,35,0,0,21,,,,,,
0,18,35,1,0,21,,,,,,
0,18,35,1,0,21,,,,,,
0,18,35,1,0,21,,,,,,
0,18,35,1,0,21,,,,,,
19,0,29,0,0,1,19,,,,,
19,0,29,0,0,11,19,,0,,0,
19,0,29,1,0,11,19,,0,,0,
19,0,29,1,0,11,19,,0,,0,
0,17,36,0,0,2,,17,,,,
0,22,37,0,0,2,,22,,,,
0,22,37,0,0,21,,,,,,
0,22,37,1,0,21,,,,,,
0,22,37,1,0,21,,,,,,
0,22,37,1,0,21,,,,,,
0,22,37,1,0,21,,,,,,
0,7,38,0,0,2,,7,,,,
0,7,38,0,0,21,,,,,,
0,7,38,1,0,21,,,,,,
0,7,38,1,0,21,,,,,,
0,7,38,1,0,21,,,,,,
0,7,38,1,0,21,,,,,,
22,0,30,0,0,1,22,,,,,
22,0,30,0,0,11,22,,0,,0,
22,0,30,1,0,11,22,,0,,0,
22,0,30,1,0,11,22,,0,,0,
18,0,31,0,0,1,18,,,,,
18,0,31,1,0,1,18,,,,,
18,0,31,1,0,1,18,,,,,
