IDborrower,IDlender,getID,IsExpired,GetLinkedAgentID,getType,Initial Borrower,Initial Lender,Linked Borrower (IB Market),Linked Lender (IB Market),IB Deposit Rate Linked Agent,IB Loan Rate Linked Agent
0,0,1662,0,0,2,,0,,,,
0,0,1662,0,6,21,,,,,,
0,0,1662,1,6,21,,,,,,
0,0,1662,1,6,21,,,,,,
0,0,1662,1,6,21,,,,,,
0,0,1662,1,6,21,,,,,,
3,0,1560,0,0,1,3,,,,,
6,0,1561,0,0,1,6,,,,,
0,0,1663,0,0,2,,0,,,,
0,0,1663,0,6,21,,,,,,
0,0,1663,1,6,21,,,,,,
0,0,1663,1,6,21,,,,,,
0,0,1663,1,6,21,,,,,,
0,0,1663,1,6,21,,,,,,
0,6,1664,0,0,2,,6,,,,
0,6,1664,1,0,2,,6,,,,
0,6,1664,1,0,2,,6,,,,
0,0,1562,0,0,1,0,,,,,
8,0,1563,0,0,1,8,,,,,
2,0,1564,0,0,1,2,,,,,
0,0,1665,0,0,2,,0,,,,
0,0,1665,0,8,21,,,,,,
0,0,1665,1,8,21,,,,,,
0,0,1665,1,8,21,,,,,,
0,0,1665,1,8,21,,,,,,
0,0,1665,1,8,21,,,,,,
0,3,1666,0,0,2,,3,,,,
0,3,1666,0,8,21,,,,,,
0,3,1666,1,8,21,,,,,,
0,3,1666,1,8,21,,,,,,
0,3,1666,1,8,21,,,,,,
0,3,1666,1,8,21,,,,,,
5,0,1565,0,0,1,5,,,,,
0,1,1667,0,0,2,,1,,,,
0,5,1668,0,0,2,,5,,,,
0,5,1668,0,3,21,,,,,,
0,5,1668,1,3,21,,,,,,
0,5,1668,1,3,21,,,,,,
0,5,1668,1,3,21,,,,,,
0,5,1668,1,3,21,,,,,,
0,3,1669,0,0,2,,3,,,,
0,3,1669,0,5,21,,,,,,
0,3,1669,1,5,21,,,,,,
0,3,1669,1,5,21,,,,,,
0,3,1669,1,5,21,,,,,,
0,3,1669,1,5,21,,,,,,
0,0,1670,0,0,2,,0,,,,
0,0,1670,0,6,21,,,,,,
0,0,1670,1,6,21,,,,,,
0,0,1670,1,6,21,,,,,,
0,0,1670,1,6,21,,,,,,
0,0,1670,1,6,21,,,,,,
5,0,1566,0,0,1,5,,,,,
0,9,1671,0,0,2,,9,,,,
0,9,1671,0,8,21,,,,,,
0,9,1671,1,8,21,,,,,,
0,9,1671,1,8,21,,,,,,
0,9,1671,1,8,21,,,,,,
0,9,1671,1,8,21,,,,,,
0,3,1672,0,0,2,,3,,,,
0,3,1672,0,7,21,,,,,,
0,3,1672,1,7,21,,,,,,
0,3,1672,1,7,21,,,,,,
0,3,1672,1,7,21,,,,,,
0,3,1672,1,7,21,,,,,,
0,1,1673,0,0,2,,1,,,,
0,0,1567,0,0,1,0,,,,,
0,0,1568,0,0,1,0,,,,,
0,4,1674,0,0,2,,4,,,,
0,4,1674,1,0,2,,4,,,,
0,4,1674,1,0,2,,4,,,,
0,4,1675,0,0,2,,4,,,,
0,4,1675,0,5,21,,,,,,
0,4,1675,1,5,21,,,,,,
0,4,1675,1,5,21,,,,,,
0,4,1675,1,5,21,,,,,,
0,4,1675,1,5,21,,,,,,
0,5,1676,0,0,2,,5,,,,
0,5,1676,0,2,21,,,,,,
0,5,1676,1,2,21,,,,,,
0,5,1676,1,2,21,,,,,,
0,5,1676,1,2,21,,,,,,
0,5,1676,1,2,21,,,,,,
0,2,1677,0,0,2,,2,,,,
0,2,1677,0,7,21,,,,,,
0,2,1677,1,7,21,,,,,,
0,2,1677,1,7,21,,,,,,
0,2,1677,1,7,21,,,,,,
0,2,1677,1,7,21,,,,,,
0,3,1678,0,0,2,,3,,,,
0,3,1678,0,4,21,,,,,,
0,3,1678,1,4,21,,,,,,
0,3,1678,1,4,21,,,,,,
0,3,1678,1,4,21,,,,,,
0,3,1678,1,4,21,,,,,,
0,8,1679,0,0,2,,8,,,,
0,8,1679,0,4,21,,,,,,
0,8,1679,1,4,21,,,,,,
0,8,1679,1,4,21,,,,,,
0,8,1679,1,4,21,,,,,,
0,8,1679,1,4,21,,,,,,
0,5,1680,0,0,2,,5,,,,
0,5,1680,0,7,21,,,,,,
0,5,1680,1,7,21,,,,,,
0,5,1680,1,7,21,,,,,,
0,5,1680,1,7,21,,,,,,
0,5,1680,1,7,21,,,,,,
0,8,1681,0,0,2,,8,,,,
0,8,1681,0,6,21,,,,,,
0,8,1681,1,6,21,,,,,,
0,8,1681,1,6,21,,,,,,
0,8,1681,1,6,21,,,,,,
0,8,1681,1,6,21,,,,,,
0,6,1682,0,0,2,,6,,,,
0,6,1682,0,2,21,,,,,,
0,6,1682,1,2,21,,,,,,
0,6,1682,1,2,21,,,,,,
0,6,1682,1,2,21,,,,,,
0,6,1682,1,2,21,,,,,,
1,0,1569,0,0,1,1,,,,,
1,0,1569,0,3,11,1,,3,,0,
1,0,1569,1,3,11,1,,3,,0,
1,0,1569,1,3,11,1,,3,,0,
0,9,1683,0,0,2,,9,,,,
0,9,1683,0,5,21,,,,,,
0,9,1683,1,5,21,,,,,,
0,9,1683,1,5,21,,,,,,
0,9,1683,1,5,21,,,,,,
0,9,1683,1,5,21,,,,,,
0,9,1684,0,0,2,,9,,,,
0,9,1684,0,6,21,,,,,,
0,9,1684,1,6,21,,,,,,
0,9,1684,1,6,21,,,,,,
0,9,1684,1,6,21,,,,,,
0,9,1684,1,6,21,,,,,,
8,0,1570,0,0,1,8,,,,,
0,3,1685,0,0,2,,3,,,,
0,3,1685,0,4,21,,,,,,
0,3,1685,1,4,21,,,,,,
0,3,1685,1,4,21,,,,,,
0,3,1685,1,4,21,,,,,,
0,3,1685,1,4,21,,,,,,
0,4,1686,0,0,2,,4,,,,
0,4,1686,0,2,21,,,,,,
0,4,1686,1,2,21,,,,,,
0,4,1686,1,2,21,,,,,,
0,4,1686,1,2,21,,,,,,
0,4,1686,1,2,21,,,,,,
0,0,1571,0,0,1,0,,,,,
5,0,1572,0,0,1,5,,,,,
0,3,1687,0,0,2,,3,,,,
0,3,1687,0,7,21,,,,,,
0,3,1687,1,7,21,,,,,,
0,3,1687,1,7,21,,,,,,
0,3,1687,1,7,21,,,,,,
0,3,1687,1,7,21,,,,,,
9,0,1573,0,0,1,9,,,,,
2,0,1574,0,0,1,2,,,,,
3,0,1575,0,0,1,3,,,,,
4,0,1576,0,0,1,4,,,,,
4,0,1576,0,3,11,4,,3,,0,
4,0,1576,1,3,11,4,,3,,0,
4,0,1576,1,3,11,4,,3,,0,
1,0,1577,0,0,1,1,,,,,
1,0,1577,0,3,11,1,,3,,0,
1,0,1577,1,3,11,1,,3,,0,
1,0,1577,1,3,11,1,,3,,0,
3,0,1578,0,0,1,3,,,,,
4,0,1579,0,0,1,4,,,,,
4,0,1579,1,0,1,4,,,,,
4,0,1579,1,0,1,4,,,,,
0,0,1688,0,0,2,,0,,,,
0,0,1688,0,6,21,,,,,,
0,0,1688,1,6,21,,,,,,
0,0,1688,1,6,21,,,,,,
0,0,1688,1,6,21,,,,,,
0,0,1688,1,6,21,,,,,,
0,5,1689,0,0,2,,5,,,,
